Projects Count,interaction_AI_Score_(0-100)_feat_years_experience_extracted,interaction_AI_Score_(Uniform_0-100)_Experience_(Years),interaction_Experience_(Years)_Projects_Count,AI Score (0-100),interaction_AI_Score_(Uniform_0-100)_Projects_Count,interaction_Experience_(Years)_feat_years_experience_extracted,feat_num_skills_matched_cubed,feat_years_experience_extracted_sqrt,feat_years_experience_extracted,interaction_AI_Score_(0-100)_Experience_(Years),AI Score (Uniform 0-100),ratio_salary_to_experience,interaction_AI_Score_(Uniform_0-100)_feat_years_experience_extracted,Experience (Years),ratio_experience_to_skills,interaction_AI_Score_(Uniform_0-100)_AI_Score_(0-100),feat_years_experience_extracted_squared,interaction_AI_Score_(0-100)_Projects_Count,interaction_Projects_Count_feat_years_experience_extracted,feat_salary_extracted_squared,feat_salary_extracted_cubed,feat_salary_extracted,feat_years_experience_extracted_cubed,Resume_ID,target_binary
1.6843403884976034,475,159.375,20,1.2367846749286764,796.875,10,0,2.449489742783178,0.6062227697994569,190,0.9304914179081012,21558.5,398.4375,-0.45250208573314965,5.0,7570.3125,25,950,50,16731681201.0,2164259695030551.0,1.9571893635812694,125,-0.9283435077361029,1
0.42561039852639904,800,542.2297297297298,36,1.4842876293565521,542.2297297297298,48,0,3.0,1.599022378311611,600,1.3627437831619602,10184.555555555555,722.9729729729731,1.1068189517615161,8.0,9037.162162162163,64,600,48,8401738921.0,770111791237781.0,0.08405866972913321,512,1.5654176491745835,1
-0.8331195914448052,90,0.0,0,-1.980753732633706,11.402027027027026,0,0,2.0,-0.055643635875312486,0,-2.062813498790553,34123.0,17.10304054054054,-1.2321626044804825,3.0,171.0304054054054,9,60,6,18630066064.0,2542854977207488.0,2.3120852586409164,27,1.148037089860418,1
1.6843403884976034,200,722.9729729729731,80,1.4842876293565521,903.7162162162165,16,0,1.7320508075688772,-0.3865768387126972,800,1.3627437831619602,35822.666666666664,180.74324324324328,1.8864794705088488,2.0,9037.162162162163,4,1000,20,11549371024.0,1241187805207232.0,0.8696404388381997,8,1.7688468293445128,1
1.0549753935120012,0,59.332770270270274,8,-0.0007300972107013949,474.6621621621622,0,0,1.0,-1.0484432443874665,70,0.10699086434146231,64434.0,0.0,-0.8423323451068161,0.0,4153.293918918919,0,560,0,4151740356.0,267513238098504.0,-1.269078220732849,0,1.5864620471231967,1
0.11092790103359798,640,216.3851351351351,15,0.49427581164504975,360.6418918918919,24,0,3.0,1.599022378311611,240,0.6246685982225648,13284.111111111111,577.027027027027,-0.06267182635948325,8.0,5770.27027027027,64,400,40,14293876249.0,1708932962701693.0,1.4704437542528581,512,-0.4197705573112793,0
-1.1478020889376062,0,42.65202702702704,2,-1.2382448693500792,21.32601351351352,0,1,1.0,-1.0484432443874665,90,-1.430665770948942,83877.0,0.0,-0.45250208573314965,0.0,959.6706081081084,0,45,0,7035351129.0,590104146647133.0,-0.30279326237341464,0,-1.173861483803259,0
1.3696578910048023,455,52.78716216216216,9,-0.24823305163857698,475.0844594594595,7,0,2.8284271247461903,1.2680891754742263,65,-0.15782777840299644,14649.875,369.5101351351351,-0.8423323451068161,7.0,3431.1655405405404,49,585,63,13735605601.0,1609799240831599.0,1.3532550523132632,343,0.5167051514020163,0
-0.5184370939520041,120,137.58445945945942,9,-0.4957360060664525,137.58445945945942,6,0,1.7320508075688772,-0.3865768387126972,180,-0.43802298750035945,33409.333333333336,91.72297297297295,-0.06267182635948325,2.0,2751.6891891891887,4,180,6,10045651984.0,1006855607052352.0,0.5098244074375771,8,0.8499081189217282,1
-0.20375459645920307,0,632.6013513513515,28,1.4842876293565521,361.48648648648657,0,0,1.0,-1.0484432443874665,700,1.3627437831619602,72238.0,0.0,1.4966492111351826,0.0,9037.162162162163,0,400,0,5218328644.0,376961624585272.0,-0.8812323216927305,0,-0.8687177135483649,1
