Resume_ID,index,y_true,y_pred_oof
1,0,100.0,100.0
2,1,100.0,100.0
3,2,70.0,69.07033394164836
4,3,95.0,81.31609572663035
5,4,100.0,87.10952771877189
6,5,100.0,100.0
7,6,100.0,91.3106188309898
8,7,90.0,79.61127972738197
9,8,100.0,89.26297444213097
10,9,35.0,50.22294738231544
11,10,70.0,69.76063782504019
12,11,50.0,55.62803311973958
13,12,65.0,64.18324006292414
14,13,100.0,93.62964269369684
15,14,45.0,55.89332008107997
16,15,60.0,63.83157533141877
17,16,100.0,98.03939665327803
18,17,80.0,77.8777516893808
19,18,95.0,85.17332310401305
20,19,100.0,100.0
21,20,90.0,80.7903760344354
22,21,100.0,100.0
23,22,100.0,89.01897202197546
24,23,100.0,89.24400726802455
25,24,80.0,72.66255218201482
26,25,100.0,100.0
27,26,60.0,63.18535698196712
28,27,45.0,57.14754585380729
29,28,100.0,100.0
30,29,100.0,100.0
31,30,100.0,86.75009902125281
32,31,75.0,73.55662705730961
33,32,100.0,100.0
34,33,100.0,100.0
35,34,75.0,71.76667166889558
36,35,100.0,96.73711731010503
37,36,100.0,85.7472451739147
38,37,100.0,88.73078768476503
39,38,80.0,73.97704518940984
40,39,70.0,70.19859804963991
41,40,100.0,100.0
42,41,80.0,73.55208277888855
43,42,95.0,83.54532449170235
44,43,70.0,67.98051614773198
45,44,95.0,81.441354095013
46,45,90.0,81.71844472123145
47,46,100.0,94.41574420394195
48,47,100.0,100.0
49,48,80.0,74.37609482276763
50,49,75.0,70.60873590840629
51,50,100.0,95.0075796187326
52,51,100.0,97.54765510666998
53,52,45.0,59.533171872989016
54,53,100.0,95.1178085788188
55,54,60.0,62.95039653517612
56,55,55.0,58.55098888693137
57,56,75.0,69.55353949368535
58,57,55.0,61.75386820512071
59,58,35.0,50.75965429847877
60,59,100.0,84.04679745565343
61,60,70.0,67.7172415171193
62,61,100.0,100.0
63,62,100.0,100.0
64,63,100.0,100.0
65,64,100.0,100.0
66,65,40.0,55.41729324740501
67,66,100.0,88.68977190180223
68,67,100.0,100.0
69,68,100.0,100.0
70,69,45.0,57.39525666917948
71,70,100.0,88.95506312815243
72,71,60.0,62.78875324424256
73,72,60.0,63.309751762835155
74,73,100.0,86.30154472438642
75,74,100.0,100.0
76,75,100.0,90.09620721157845
77,76,20.0,41.111676522100545
78,77,95.0,84.28310364913804
79,78,50.0,58.228903593059755
80,79,100.0,90.59262989990509
81,80,100.0,89.9059563089227
82,81,80.0,74.98676378800394
83,82,100.0,100.0
84,83,100.0,98.77079253576223
85,84,35.0,51.340728772538284
86,85,100.0,91.86860458934365
87,86,100.0,100.0
88,87,100.0,94.5479662355172
89,88,100.0,95.47683948326949
90,89,100.0,100.0
91,90,95.0,81.43169275097694
92,91,95.0,80.23597183053958
93,92,75.0,73.60264993734884
94,93,70.0,70.3512609614013
95,94,100.0,100.0
96,95,60.0,62.50067537467254
97,96,80.0,72.37957948674213
98,97,100.0,100.0
99,98,100.0,96.90574972637236
100,99,100.0,83.06333702680512
101,100,45.0,52.30761668707428
102,101,100.0,93.81955860683411
103,102,55.0,61.597809467033926
104,103,100.0,100.0
105,104,75.0,70.15708880148794
106,105,100.0,100.0
107,106,100.0,94.3112189007827
108,107,55.0,60.51962566752662
109,108,85.0,76.26270267232314
110,109,100.0,88.56956020990621
111,110,100.0,89.16075072131503
112,111,95.0,86.60031272156172
113,112,65.0,65.75804027850558
114,113,35.0,50.6197155060227
115,114,50.0,60.163257938230345
116,115,100.0,100.0
117,116,100.0,100.0
118,117,100.0,99.91056851467539
119,118,100.0,88.81089512780201
120,119,100.0,95.56266226774463
121,120,80.0,72.83233454831385
122,121,80.0,74.6218675549043
123,122,100.0,88.82201065637746
124,123,75.0,72.62939676178935
125,124,100.0,100.0
126,125,100.0,95.97287061087953
127,126,100.0,86.89339998773653
128,127,50.0,58.65505306823054
129,128,100.0,100.0
130,129,55.0,60.30639397976124
131,130,60.0,62.64180251655827
132,131,30.0,48.847328793181866
133,132,100.0,100.0
134,133,30.0,48.79226546365449
135,134,100.0,87.41776160701772
136,135,80.0,73.6759058284738
137,136,80.0,75.91578214033316
138,137,100.0,100.0
139,138,95.0,83.92426530847231
140,139,65.0,63.688371658109325
141,140,65.0,67.10377260970091
142,141,100.0,99.12467602868279
143,142,85.0,80.04954212010631
144,143,100.0,100.0
145,144,100.0,81.89868778365778
146,145,100.0,100.0
147,146,100.0,100.0
148,147,100.0,95.54903871926892
149,148,85.0,76.47927393869074
150,149,100.0,92.40359186376219
151,150,90.0,78.27129684898313
152,151,100.0,100.0
153,152,100.0,92.46335380283674
154,153,100.0,85.79003843482238
155,154,100.0,94.03231914446314
156,155,90.0,80.23354297061871
157,156,100.0,93.81813284528924
158,157,40.0,56.28485797221387
